class,efficientnet_recall,efficientnet_f1,yolo_recall,yolo_f1,recall_delta,f1_delta
healthy_rice,1.0,1.0,1.0,1.0,0.0,0.0
healthy_wheat,0.8889,0.8333,0.9556,0.9556,-0.0667,-0.1223
rice_bacterial_blight,0.6,0.72,1.0,0.989,-0.4,-0.269
rice_blast,0.8,0.7347,0.9778,0.9565,-0.1778,-0.2218
rice_brown_spot,0.7111,0.8312,1.0,1.0,-0.2889,-0.1688
rice_leaf_scald,0.9556,0.7818,0.9333,0.9655,0.0223,-0.1837
rice_sheath_blight,0.9556,0.8958,1.0,1.0,-0.0444,-0.1042
wheat_aphid,0.4444,0.5556,0.9333,0.9545,-0.4889,-0.3989
wheat_black_rust,0.7111,0.7033,0.9333,0.9032,-0.2222,-0.1999
wheat_blast,0.8889,0.8511,0.9556,0.9556,-0.0667,-0.1045
wheat_brown_rust,0.7111,0.7033,0.8444,0.8837,-0.1333,-0.1804
wheat_fusarium_head_blight,0.8222,0.8916,0.9778,0.9888,-0.1556,-0.0972
wheat_leaf_blight,0.5556,0.5102,0.9111,0.8817,-0.3555,-0.3715
wheat_mite,0.5111,0.6053,1.0,0.9783,-0.4889,-0.373
wheat_powdery_mildew,0.8,0.8571,1.0,1.0,-0.2,-0.1429
wheat_root_rot,0.8444,0.7379,0.9556,0.9663,-0.1112,-0.2284
wheat_septoria,0.8222,0.8222,0.9778,0.9888,-0.1556,-0.1666
wheat_smut,0.7556,0.764,0.9773,0.9663,-0.2217,-0.2023
wheat_stem_fly,0.7714,0.7826,1.0,0.9859,-0.2286,-0.2033
wheat_tan_spot,0.5333,0.4706,0.8889,0.8889,-0.3556,-0.4183
wheat_yellow_rust,0.9111,0.9535,0.9778,0.9888,-0.0667,-0.0353
MACRO_AVG,0.7616,0.7621,0.9619,0.9618,-0.2003,-0.1997
ACCURACY,0.7615,,0.9615,,-0.2,
