class,n,acc_A,acc_B,delta_acc,discordant_b,discordant_c,p_raw,holm_rank,holm_threshold,significant
wheat_tan_spot,45,0.8889,0.8222,-0.0667,3,0,0.248213,1,0.002381,False
healthy_rice,45,1.0,1.0,0.0,0,0,1.0,2,0.0025,False
healthy_wheat,45,0.9556,0.9556,0.0,0,0,1.0,3,0.002632,False
rice_bacterial_blight,45,1.0,1.0,0.0,0,0,1.0,4,0.002778,False
rice_blast,44,0.9773,0.9773,0.0,0,0,1.0,5,0.002941,False
rice_brown_spot,45,1.0,1.0,0.0,0,0,1.0,6,0.003125,False
rice_leaf_scald,45,0.9333,0.9333,0.0,0,0,1.0,7,0.003333,False
rice_sheath_blight,45,1.0,1.0,0.0,0,0,1.0,8,0.003571,False
wheat_aphid,45,0.9333,0.9111,-0.0222,1,0,1.0,9,0.003846,False
wheat_black_rust,45,0.9333,0.9333,0.0,0,0,1.0,10,0.004167,False
wheat_blast,45,0.9556,0.9556,0.0,0,0,1.0,11,0.004545,False
wheat_brown_rust,45,0.8444,0.8444,0.0,0,0,1.0,12,0.005,False
wheat_fusarium_head_blight,45,0.9778,0.9778,0.0,0,0,1.0,13,0.005556,False
wheat_leaf_blight,45,0.9111,0.9111,0.0,0,0,1.0,14,0.00625,False
wheat_mite,45,1.0,1.0,0.0,0,0,1.0,15,0.007143,False
wheat_powdery_mildew,45,1.0,1.0,0.0,0,0,1.0,16,0.008333,False
wheat_root_rot,45,0.9556,0.9556,0.0,0,0,1.0,17,0.01,False
wheat_septoria,45,0.9778,0.9778,0.0,0,0,1.0,18,0.0125,False
wheat_smut,44,0.9773,0.9773,0.0,0,0,1.0,19,0.016667,False
wheat_stem_fly,35,1.0,1.0,0.0,0,0,1.0,20,0.025,False
wheat_yellow_rust,45,0.9778,0.9778,0.0,0,0,1.0,21,0.05,False
